name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3/4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Cameron Boozer,Duke,FR,PF,"6'9.5""",253lbs,,,18.92yrs,,,"Westchester, FL",Christopher Columbus HS,ESPN100 #3,,,"35.0""",11.06,2.99,3.31,"9'0""","7'1.5""",38,33.4,7.6-13.7,.556,1.4-3.6,.391,5.8-7.4,.789,10.2,4.1,0.6,1.4,2.5,1.7,22.5,38,36.0,8.2-14.8,.556,1.5-3.9,.391,6.3-7.9,.789,11.0,4.4,0.7,1.5,2.7,1.8,24.2,.653,.607,.264,.536,.358,29.9,0.86,1.64,33.7,.217,.110,.327,135.7,92.8,12.7,6.0,18.7
Darryn Peterson,Kansas,FR,SG/PG,"6'5.75""",199lbs,,,19.42yrs,,,"Canton, OH",Prolific Prep,ESPN100 #2,,,"37.5""",11.17,2.95,3.16,"8'7""","6'9.75""",24,29.0,6.5-14.8,.438,2.6-6.9,.382,4.5-5.5,.826,4.2,1.6,0.6,1.4,1.6,1.5,20.2,24,36.0,8.1-18.4,.438,3.3-8.5,.382,5.6-6.8,.826,5.2,2.0,0.8,1.8,2.0,1.9,25.0,.578,.527,.463,.371,.391,33.5,0.37,1.00,25.4,.115,.080,.201,117.1,100.6,9.3,4.8,14.1
AJ Dybantsa,BYU,FR,SF,"6'9.75""",217lbs,,,19.39yrs,,,"Brockton, MA",Utah Prep,ESPN100 #1,,,"42.0""",11.06,2.99,3.14,"8'10""","7'0.5""",35,34.8,8.8-17.3,.510,1.4-4.2,.331,6.5-8.5,.774,6.8,3.7,0.3,1.1,3.1,1.2,25.5,35,36.0,9.1-17.9,.510,1.4-4.4,.331,6.8-8.8,.774,7.1,3.8,0.4,1.1,3.2,1.3,26.4,.600,.550,.245,.490,.352,33.9,0.65,1.20,28.1,.158,.053,.210,122.1,108.8,9.5,2.2,11.7
Caleb Wilson,North Carolina,FR,SF/PF,"6'10.5""",211lbs,,,19.92yrs,,,"Atlanta, GA",Holy Innocents' Episcopal School,ESPN100 #5,,,"39.5""",11.17,3.11,3.23,"9'0""","7'0.25""",24,31.3,7.1-12.3,.578,0.3-1.1,.259,5.4-7.5,.713,9.4,2.7,1.4,1.5,2.0,1.9,19.8,24,36.0,8.1-14.1,.578,0.3-1.3,.259,6.2-8.7,.713,10.8,3.1,1.6,1.7,2.3,2.2,22.8,.626,.590,.092,.616,.322,28.7,0.63,1.36,31.4,.160,.091,.256,127.7,97.8,8.7,5.3,14.0
Keaton Wagler,Illinois,FR,SG/PG,"6'6.25""",188lbs,,,19.38yrs,,,"Shawnee, KS",Shawnee Mission Northwest,,,,"36.0""",11.05,3.0,3.27,"8'4""","6'6.25""",37,33.9,5.5-12.3,.445,2.4-5.9,.397,4.6-5.8,.796,5.1,4.2,0.4,0.9,1.8,2.0,17.9,37,36.0,5.8-13.0,.445,2.5-6.3,.397,4.9-6.2,.796,5.4,4.5,0.4,1.0,1.9,2.1,19.0,.596,.541,.482,.476,.375,25.2,0.92,2.38,23.9,.175,.057,.229,134.1,107.6,8.8,3.5,12.3
Darius Acuff Jr.,Arkansas,FR,PG,"6'3.25""",186lbs,,,19.59yrs,,,"Detroit, MI",IMG Academy,ESPN100 #7,,,"36.5""",10.99,2.93,3.06,"8'2.5""","6'6.5""",36,35.1,8.0-16.5,.484,2.5-5.8,.440,4.9-6.1,.809,3.1,6.4,0.3,0.8,2.2,1.6,23.5,36,36.0,8.2-16.9,.484,2.6-5.9,.440,5.1-6.3,.809,3.2,6.6,0.3,0.9,2.2,1.7,24.1,.604,.561,.348,.370,.379,29.5,1.09,2.97,25.2,.174,.022,.196,128.8,116.9,9.4,0.7,10.1
Kingston Flemings,Houston,FR,PG,"6'3.75""",183lbs,,,19.46yrs,,,"San Antonio, TX",Brennan HS,ESPN100 #22,,,"40.5""",10.61,2.69,3.07,"8'2.5""","6'3.5""",37,31.7,6.0-12.6,.476,1.1-2.9,.387,2.9-3.5,.845,4.1,5.2,0.3,1.5,1.8,2.0,16.1,37,36.0,6.8-14.3,.476,1.3-3.3,.387,3.3-4.0,.845,4.6,5.9,0.4,1.7,2.0,2.3,18.2,.563,.520,.227,.277,.361,26.0,1.25,2.91,23.6,.130,.096,.225,123.3,96.9,6.6,6.0,12.6
Brayden Burries,Arizona,FR,SG/PG,"6'5""",215lbs,,,20.75yrs,,,"San Bernardino, CA",Eleanor Roosevelt HS,ESPN100 #12,,,"38.5""",10.59,2.92,3.21,"8'2.5""","6'6""",39,29.8,5.4-11.0,.491,1.8-4.6,.391,3.5-4.3,.805,4.9,2.4,0.2,1.5,1.5,2.1,16.1,39,36.0,6.5-13.3,.491,2.2-5.5,.391,4.2-5.2,.805,5.9,2.9,0.2,1.8,1.8,2.5,19.4,.616,.572,.418,.395,.370,23.2,0.61,1.67,21.7,.127,.093,.220,128.5,97.4,6.0,5.7,11.7
Mikel Brown Jr.,Louisville,FR,PG,"6'4.75""",190lbs,,,20.21yrs,,,"Orlando, FL",DME Academy,ESPN100 #8,,,"39.5""",10.57,2.89,3.24,"8'4.5""","6'7.5""",21,29.2,5.3-13.0,.410,2.6-7.6,.344,4.9-5.8,.844,3.3,4.7,0.1,1.2,3.1,1.6,18.2,21,36.0,6.6-16.0,.410,3.2-9.4,.344,6.0-7.2,.844,4.1,5.8,0.2,1.5,3.8,1.9,22.4,.577,.511,.586,.447,.393,31.4,0.96,1.52,20.5,.104,.065,.170,114.7,104.5,4.9,1.7,6.6
Nate Ament,Tennessee,FR,SF,"6'10.75""",211lbs,,,19.53yrs,,,"Manassas, VA",Colgan HS,ESPN100 #4,,,"37.0""",11.27,2.85,3.26,"9'1.5""","6'11.5""",35,29.7,4.9-12.3,.399,1.3-3.9,.333,5.6-7.1,.790,6.3,2.3,0.6,1.0,2.3,2.0,16.7,35,36.0,5.9-14.9,.399,1.6-4.8,.333,6.8-8.6,.790,7.7,2.8,0.8,1.2,2.7,2.4,20.2,.534,.452,.322,.578,.357,29.0,0.51,1.04,20.4,.108,.073,.177,117.5,103.1,5.1,3.3,8.4
Labaron Philon Jr.,Alabama,SO,PG,"6'3.75""",176lbs,,,20.57yrs,,,"Mobile, AL",Link Academy,ESPN100 #32,,,"35.0""",11.55,3.13,3.09,"8'3.5""","6'6.25""",33,30.9,7.4-14.7,.501,2.5-6.2,.399,4.8-6.0,.798,3.5,5.0,0.2,1.2,2.5,1.6,22.0,33,36.0,8.6-17.1,.501,2.9-7.2,.399,5.6-7.0,.798,4.1,5.8,0.2,1.3,3.0,1.8,25.6,.626,.585,.419,.408,.381,30.0,1.06,1.96,25.9,.169,.031,.196,127.3,115.1,9.2,2.1,11.3
Yaxel Lendeborg,Michigan,SR,PF,"6'10""",241lbs,,,23.72yrs,,,"Pennsauken, NJ",Pennsauken HS,,,,"32.0""",10.82,2.8,3.35,"9'0.5""","7'3.25""",40,30.2,5.0-9.7,.515,1.7-4.5,.372,3.4-4.1,.824,6.8,3.2,1.2,1.1,1.1,1.7,15.1,40,36.0,6.0-11.6,.515,2.0-5.4,.372,4.1-4.9,.824,8.1,3.9,1.5,1.3,1.3,2.0,18.0,.646,.602,.464,.425,.370,20.4,0.88,3.07,25.4,.166,.096,.262,141.5,96.6,9.8,6.9,16.7
Cameron Carr,Baylor,SO,SG,"6'5.75""",184lbs,,,21.58yrs,,,"Eden Prairie, MN",Link Academy,ESPN100 #91,,,"42.5""",10.46,2.8,3.17,"8'8""","7'0.75""",34,33.7,6.4-12.9,.494,2.3-6.1,.374,3.9-4.9,.801,5.8,2.6,1.3,0.9,2.4,1.9,18.9,34,36.0,6.8-13.7,.494,2.4-6.5,.374,4.2-5.2,.801,6.2,2.8,1.4,0.9,2.5,2.0,20.2,.622,.582,.471,.380,.374,25.3,0.58,1.11,22.0,.115,.049,.164,122.9,110.0,6.9,2.3,9.2
Morez Johnson Jr.,Michigan,SO,PF/C,"6'10.25""",251lbs,,,20.40yrs,,,"Riverdale, IL",Thornton Township HS,ESPN100 #29,,,"39.0""",10.59,2.91,3.17,"8'11""","7'3.5""",40,25.1,4.9-7.8,.623,0.3-0.9,.343,3.1-3.9,.782,7.3,1.2,1.1,0.7,1.3,2.4,13.1,40,36.0,7.0-11.2,.623,0.4-1.3,.343,4.4-5.6,.782,10.5,1.7,1.6,1.0,1.9,3.4,18.8,.677,.642,.112,.498,.337,21.3,0.39,0.91,25.2,.147,.096,.243,135.4,96.1,6.4,5.4,11.8
Aday Mara,Michigan,JR,C,"7'4.25""",260lbs,,,21.20yrs,,,"Zaragoza, Spain",,,,,"28.0""",11.47,3.36,3.61,"9'9""","7'6""",40,23.4,5.0-7.5,.668,0.1-0.3,.300,2.0-3.5,.564,6.8,2.4,2.6,0.4,2.0,2.2,12.1,40,36.0,7.7-11.6,.668,0.1-0.4,.300,3.0-5.4,.564,10.4,3.7,4.0,0.5,3.0,3.4,18.6,.659,.673,.033,.465,.300,23.1,0.82,1.23,26.2,.115,.107,.222,122.9,93.2,5.8,8.4,14.3
Karim López,,,SF,"6'9.5""",222lbs,,,19.19yrs,,,"Hermosillo, Mexico",,,,,"38.0""",11.14,2.88,3.32,"8'9.5""","6'11.5""",30,25.6,4.4-8.9,.494,1.0-3.0,.322,2.2-2.9,.739,6.1,1.9,1.0,1.2,1.5,2.9,11.9,30,36.0,6.2-12.5,.494,1.4-4.2,.322,3.1-4.1,.739,8.5,2.7,1.5,1.6,2.2,4.1,16.8,.580,.549,.337,.330,.346,19.5,0.55,1.24,17.5,,,,116.0,109.5,,,
Hannes Steinbach,Washington,FR,PF,"6'11.5""",248lbs,,,20.14yrs,,,"Würzburg, Germany",,,,,"35.5""",10.9,2.89,3.38,"9'0""","7'2.25""",30,34.6,7.0-12.1,.577,0.6-1.8,.340,4.0-5.3,.759,11.8,1.6,1.2,1.1,2.0,2.4,18.5,30,36.0,7.2-12.5,.577,0.6-1.8,.340,4.2-5.5,.759,12.2,1.6,1.3,1.1,2.0,2.5,19.3,.636,.602,.146,.436,.337,23.9,0.38,0.80,28.0,.146,.069,.216,129.5,104.0,7.7,2.4,10.1
Chris Cenac Jr.,Houston,FR,PF/C,"6'11.5""",240lbs,,,19.38yrs,,,"New Orleans, LA",Link Academy,ESPN100 #6,,,"37.0""",10.76,2.84,3.27,"9'0.5""","7'5""",37,24.8,3.9-8.0,.485,0.8-2.4,.333,1.0-1.6,.621,7.9,0.7,0.5,0.8,0.9,2.3,9.5,37,36.0,5.6-11.6,.485,1.2-3.5,.333,1.4-2.3,.621,11.4,1.1,0.7,1.1,1.3,3.4,13.8,.546,.536,.305,.197,.327,19.9,0.28,0.82,19.3,.078,.113,.187,118.0,92.2,3.7,3.8,7.5
Jayden Quaintance,Kentucky,SO,PF/C,"6'10.25""",253lbs,,,18.94yrs,,,"Cleveland, OH",Word of God Christian Academy,ESPN100 #17,,,,,,,"9'1""","7'5.25""",4,16.8,2.0-3.5,.571,0.0-0.0,,1.0-3.3,.308,5.0,0.5,0.8,0.5,1.5,1.3,5.0,4,36.0,4.3-7.5,.571,0.0-0.0,,2.1-7.0,.308,10.7,1.1,1.6,1.1,3.2,2.7,10.7,.496,.571,.000,.929,,19.2,0.27,0.33,13.2,.000,.060,.060,92.2,105.3,0.0,1.8,1.9
Bennett Stirtz,Iowa,SR,PG,"6'3.75""",186lbs,,,22.71yrs,,,"Liberty, MO",Liberty HS,,,,"37.5""",11.25,2.91,3.17,"8'2.5""","6'6""",37,37.7,6.8-14.2,.477,2.5-6.9,.358,3.8-4.5,.848,2.6,4.4,0.2,1.4,1.8,1.9,19.8,37,36.0,6.5-13.6,.477,2.4-6.6,.358,3.6-4.3,.848,2.5,4.2,0.2,1.3,1.8,1.9,18.9,.607,.565,.489,.314,.379,26.9,0.93,2.40,22.3,.140,.052,.192,125.8,108.9,7.7,2.5,10.2
Allen Graves,Santa Clara,FR,PF,"6'9""",226lbs,,,19.90yrs,,,"Ponchatoula, LA",Ponchatoula HS,,,,"34.0""",11.76,3.18,3.44,"8'10.5""","7'0""",35,22.6,4.1-8.1,.512,1.1-2.6,.413,2.4-3.2,.750,6.5,1.8,0.9,1.9,0.7,3.1,11.8,35,36.0,6.6-12.9,.512,1.7-4.2,.413,3.8-5.1,.750,10.4,2.9,1.5,3.0,1.1,4.9,18.8,.613,.580,.325,.396,.357,21.9,0.63,2.52,29.6,.172,.091,.268,139.1,97.2,8.7,4.7,13.4
Dailyn Swain,Texas,JR,SG/SF,"6'7.75""",211lbs,,,20.93yrs,,,"Columbus, OH",Columbus Africentric Early College,ESPN100 #96,,,"36.5""",11.25,3.08,3.21,"8'8.5""","6'10""",36,32.8,5.9-11.0,.542,0.9-2.6,.344,4.5-5.6,.815,7.5,3.6,0.3,1.6,2.7,2.2,17.3,36,36.0,6.5-12.0,.542,1.0-2.8,.344,5.0-6.1,.815,8.3,3.9,0.3,1.8,2.9,2.4,19.0,.636,.582,.235,.506,.350,24.6,0.85,1.34,25.0,.135,.054,.190,125.7,107.7,6.9,3.6,10.5
Christian Anderson,Texas Tech,SO,PG,"6'2.25""",180lbs,,,20.22yrs,,,"Atlanta, GA",Oak Hill Academy,,,,"40.5""",10.85,2.85,3.18,"8'0.5""","6'6.25""",33,38.4,6.2-13.1,.472,3.3-7.9,.415,2.9-3.6,.805,3.6,7.4,0.2,1.5,3.3,2.0,18.5,33,36.0,5.8-12.3,.472,3.1-7.4,.415,2.7-3.4,.805,3.4,6.9,0.2,1.4,3.1,1.8,17.4,.626,.597,.602,.273,.386,23.8,1.48,2.24,20.9,.133,.044,.177,125.0,110.9,7.1,2.3,9.4
Ebuka Okorie,Stanford,FR,PG,"6'2.5""",186lbs,,,19.19yrs,,,"Nashua, NH",Brewster Academy,,,,"37.5""",10.71,2.96,3.26,"8'2""","6'7.75""",31,35.1,7.5-16.2,.465,2.0-5.7,.354,6.1-7.3,.832,3.6,3.6,0.3,1.6,1.9,1.4,23.2,31,36.0,7.7-16.6,.465,2.1-5.9,.354,6.2-7.5,.832,3.7,3.7,0.3,1.6,1.9,1.4,23.8,.589,.528,.354,.449,.372,31.0,0.77,1.91,26.5,.162,.044,.210,126.2,110.5,8.4,2.2,10.6
Isaiah Evans,Duke,SO,SF,"6'6.75""",186lbs,,,20.54yrs,,,"Fayetteville, NC",North Mecklenburg HS,ESPN100 #14,,,"35.5""",11.87,2.89,3.18,"8'8.5""","6'8.75""",38,28.2,4.9-11.3,.433,2.7-7.4,.361,2.6-3.0,.860,3.2,1.3,0.7,0.7,1.1,1.2,15.0,38,36.0,6.2-14.4,.433,3.4-9.4,.361,3.3-3.8,.860,4.1,1.6,0.8,0.9,1.4,1.5,19.2,.590,.550,.651,.265,.397,24.9,0.33,1.12,19.2,.116,.086,.198,124.9,99.8,6.5,3.3,9.8
Koa Peat,Arizona,FR,PF,"6'8.25""",245lbs,,,19.41yrs,,,"Gilbert, AZ",Perry HS,ESPN100 #10,,,"37.5""",11.0,3.39,3.16,"8'8""","6'11.25""",36,27.8,5.6-10.5,.528,0.2-0.6,.350,2.8-4.5,.623,5.6,2.6,0.7,0.6,1.6,2.2,14.1,36,36.0,7.2-13.6,.528,0.3-0.7,.350,3.6-5.8,.623,7.3,3.3,0.9,0.8,2.1,2.9,18.3,.557,.537,.053,.427,.313,24.5,0.68,1.60,20.5,.104,.080,.184,119.5,100.7,4.8,3.9,8.8
Joshua Jefferson,Iowa State,SR,PF/SF,"6'9""",246lbs,,,22.58yrs,,,"Las Vegas, NV",Liberty HS,,,,"33.0""",11.91,3.08,3.42,"8'8.5""","6'10.75""",35,30.9,5.5-11.8,.471,1.1-3.1,.345,4.3-6.1,.700,7.4,4.8,0.8,1.6,2.5,2.3,16.4,35,36.0,6.4-13.7,.471,1.3-3.7,.345,5.0-7.1,.700,8.6,5.6,1.0,1.9,3.0,2.7,19.1,.560,.517,.267,.517,.340,27.6,1.00,1.88,24.4,.114,.111,.225,118.6,92.7,7.0,6.1,13.0
Meleek Thomas,Arkansas,FR,SG/PG,"6'4.25""",190lbs,,,19.87yrs,,,"Pittsburgh, PA",Lincoln Park Performing Arts Charter School,ESPN100 #10,,,"38.0""",11.57,2.97,3.22,"8'4""","6'6.75""",37,30.5,5.5-12.6,.435,2.2-5.3,.416,2.5-2.9,.843,3.8,2.5,0.2,1.5,1.0,2.1,15.6,37,36.0,6.5-14.9,.435,2.6-6.3,.416,2.9-3.4,.843,4.5,2.9,0.2,1.8,1.2,2.5,18.5,.559,.522,.422,.231,.383,23.6,0.56,2.49,19.2,.106,.039,.142,122.3,112.6,4.8,2.3,7.0
Henri Veesaar,North Carolina,JR,C,"7'0.5""",227lbs,,,22.23yrs,,,"Tallinn, Estonia",,,,,"32.5""",11.2,2.92,3.42,"9'3""","7'2""",31,31.4,6.7-11.0,.608,1.3-3.0,.426,2.3-3.8,.615,8.7,2.1,1.2,0.6,1.7,2.5,17.0,31,36.0,7.7-12.6,.608,1.5-3.5,.426,2.7-4.3,.615,10.0,2.4,1.4,0.7,1.9,2.9,19.5,.664,.667,.275,.342,.335,23.3,0.58,1.23,25.4,.131,.078,.209,128.6,102.1,7.0,3.8,10.7
Sergio de Larrea,,,PG/SG,"6'7.25""",204lbs,,,20.54yrs,,,"Valladolid, Spain",,,,,,,,,,,70,14.7,2.2-5.0,.434,1.0-2.4,.392,1.8-2.2,.815,2.2,2.7,0.3,0.5,1.4,1.6,7.1,70,36.0,5.3-12.2,.434,2.3-6.0,.392,4.5-5.5,.815,5.3,6.7,0.6,1.2,3.5,3.9,17.4,.588,.530,.491,.451,.375,22.1,1.22,1.91,17.7,,,,119.9,113.9,,,
Tarris Reed Jr.,UConn,SR,C,"6'11""",264lbs,,,22.87yrs,,,"St. Louis, MO",Link Academy,ESPN100 #34,,,"33.0""",11.03,2.77,3.3,"9'2""","7'4.25""",35,27.3,6.0-9.9,.607,0.0-0.1,.000,2.7-4.4,.617,9.0,2.3,2.0,0.9,1.9,2.9,14.7,35,36.0,7.9-13.0,.607,0.0-0.2,.000,3.6-5.8,.617,11.8,3.0,2.6,1.2,2.4,3.9,19.4,.614,.607,.012,.445,.306,26.1,0.68,1.23,28.8,.130,.109,.238,123.1,92.9,6.7,6.1,12.9
Alex Karaban,UConn,SR,SF/PF,"6'8""",225lbs,,,23.61yrs,,,"Southborough, MA",IMG Academy,,,,"33.0""",11.19,3.01,3.28,"8'8.5""","6'11""",40,34.3,4.7-10.1,.464,1.9-5.2,.374,1.9-2.2,.851,5.3,2.4,0.8,0.8,1.1,2.0,13.2,40,36.0,4.9-10.6,.464,2.0-5.4,.374,1.9-2.3,.851,5.5,2.5,0.9,0.9,1.1,2.1,13.8,.590,.559,.509,.215,.374,18.4,0.67,2.19,17.7,.102,.073,.175,127.7,102.8,5.4,3.6,9.0
Zuby Ejiofor,St. John's,SR,PF,"6'8.75""",245lbs,,,22.17yrs,,,"Garland, TX",Garland HS,ESPN100 #80,,,"38.0""",11.05,2.76,3.2,"8'11""","7'2""",37,30.0,5.4-10.1,.536,0.5-1.6,.305,5.0-7.0,.718,7.3,3.5,2.1,1.2,2.1,2.4,16.3,37,36.0,6.5-12.1,.536,0.6-1.9,.305,6.0-8.4,.718,8.8,4.3,2.6,1.4,2.5,2.9,19.6,.609,.560,.158,.694,.329,24.8,0.93,1.68,27.7,.144,.094,.238,127.0,97.2,8.5,6.0,14.5
Richie Saunders,BYU,SR,SG,"6'6.25""",205lbs,,,24.75yrs,,,"Riverton, UT",Wasatch Academy,,,,,,,,"8'6.5""","6'8.75""",25,31.4,6.0-12.2,.489,2.6-6.8,.376,3.6-4.4,.817,5.8,2.1,0.3,1.7,1.6,2.2,18.0,25,36.0,6.8-14.0,.489,2.9-7.8,.376,4.1-5.0,.817,6.6,2.4,0.3,2.0,1.9,2.5,20.7,.632,.593,.557,.357,.384,24.5,0.50,1.27,25.0,.153,.061,.209,131.1,106.8,7.8,2.9,10.7
Jaden Bradley,Arizona,SR,PG,"6'3.75""",205lbs,,,22.76yrs,,,"Rochester, NY",IMG Academy,ESPN100 #20,,,"36.0""",10.75,3.13,3.2,"8'0""","6'6.25""",39,30.6,4.4-9.4,.463,0.7-1.7,.394,3.9-4.8,.809,3.4,4.4,0.1,1.4,1.7,2.0,13.3,39,36.0,5.1-11.1,.463,0.8-2.0,.394,4.6-5.7,.809,4.0,5.1,0.1,1.7,2.1,2.4,15.6,.568,.499,.180,.512,.349,20.9,1.11,2.50,18.1,.101,.084,.184,122.9,100.4,3.7,5.3,9.0
Baba Miller,Cincinnati,SR,SF,"6'11.75""",208lbs,,,22.36yrs,,,"Mallorca, Spain",,,,,"34.5""",10.71,2.7,3.23,"9'3""","7'1.75""",31,31.9,4.8-9.0,.529,0.3-1.7,.192,3.2-4.8,.658,10.3,3.7,1.2,0.7,2.2,2.3,13.0,31,36.0,5.4-10.2,.529,0.4-1.9,.192,3.6-5.4,.658,11.7,4.2,1.3,0.8,2.5,2.6,14.7,.576,.546,.186,.532,.312,21.1,1.10,1.69,21.0,.081,.105,.186,116.0,93.8,3.7,5.8,9.4
Ryan Conwell,Louisville,SR,SG,"6'3.25""",215lbs,,,22.01yrs,,,"Indianapolis, IN",Pike HS,,,,"39.5""",10.69,2.86,3.21,"8'0.5""","6'7""",34,30.9,5.9-14.5,.408,3.3-9.6,.345,3.6-4.4,.832,4.8,2.7,0.2,1.1,2.1,2.8,18.8,34,36.0,6.9-16.9,.408,3.8-11.2,.345,4.3-5.1,.832,5.6,3.1,0.2,1.3,2.5,3.3,21.9,.566,.521,.659,.302,.401,29.5,0.56,1.25,19.0,.099,.069,.168,115.6,104.1,5.1,2.2,7.3
Trevon Brazile,Arkansas,SR,PF,"6'10.75""",226lbs,,,23.45yrs,,,"Springfield, MO",Kickapoo HS,,,,"41.5""",10.84,2.71,3.14,"9'1""","7'3.75""",36,31.5,4.7-8.9,.525,1.3-3.7,.341,2.4-3.3,.717,7.3,1.6,1.6,1.5,1.1,2.0,13.0,36,36.0,5.4-10.2,.525,1.4-4.2,.341,2.7-3.8,.717,8.4,1.8,1.8,1.7,1.2,2.3,14.9,.619,.595,.410,.373,.345,17.6,0.43,1.47,20.9,.099,.060,.159,128.6,106.9,5.4,3.9,9.3
Jack Kayil,,,PG,"6'4.75""",189lbs,,,20.39yrs,,,"Berlin, Germany",,,,,,11.4,2.91,3.16,,"6'5.75""",64,21.4,3.6-9.4,.380,1.6-5.5,.297,3.5-4.4,.784,3.0,3.6,0.2,1.0,2.5,2.0,12.2,64,36.0,6.0-15.8,.380,2.7-9.2,.297,5.8-7.4,.784,5.1,6.1,0.3,1.7,4.2,3.4,20.6,.532,.467,.581,.468,.376,29.1,1.00,1.46,16.6,,,,107.9,104.6,,,
Ugonna Onyenso,Virginia,SR,C,"7'0.25""",237lbs,,,21.73yrs,,,"Owerri, Nigeria",Putnam Science Academy,ESPN100 #30,,,"32.0""",11.56,3.16,3.25,"9'5""","7'4.75""",36,18.6,2.7-4.7,.568,0.3-1.0,.278,0.9-1.2,.727,4.9,0.6,2.9,0.6,0.4,1.3,6.5,36,36.0,5.2-9.1,.568,0.5-1.9,.278,1.7-2.4,.727,9.5,1.1,5.7,1.2,0.9,2.4,12.6,.616,.598,.213,.260,.328,15.5,0.37,1.31,25.6,.102,.108,.209,133.9,93.5,4.7,7.6,12.2
Ja'Kobi Gillespie,Tennessee,SR,PG,"6'1""",182lbs,,,22.28yrs,,,"Greeneville, TN",Greeneville HS,,,,"39.5""",10.94,2.91,3.12,"7'11.5""","6'4""",37,34.8,6.3-15.3,.410,2.8-8.2,.338,3.1-3.8,.814,2.8,5.4,0.2,2.1,2.3,2.3,18.4,37,36.0,6.5-15.8,.410,2.9-8.5,.338,3.2-3.9,.814,2.9,5.6,0.2,2.2,2.4,2.4,19.1,.538,.501,.539,.247,.383,26.9,1.12,2.36,20.3,.121,.068,.190,122.0,104.4,6.4,4.5,10.9
Emanuel Sharp,Houston,SR,SG,"6'4""",208lbs,,,22.29yrs,,,"Tampa, FL",Bishop McLaughlin School,,,,"33.0""",10.77,2.8,3.19,"8'2.5""","6'3""",37,29.4,4.8-11.5,.413,2.6-7.1,.372,3.3-3.7,.891,3.0,1.7,0.1,1.2,1.0,3.0,15.5,37,36.0,5.8-14.1,.413,3.2-8.6,.372,4.1-4.6,.891,3.6,2.1,0.1,1.5,1.2,3.7,18.9,.582,.527,.613,.324,.399,25.0,0.44,1.78,20.0,.132,.081,.213,127.6,100.2,5.9,4.8,10.7
Nick Martinelli,Northwestern,SR,SF,"6'7.75""",224lbs,,,22.17yrs,,,"Glenview, IL",Glenbrook South HS,,,,"33.0""",11.01,2.88,3.48,"8'8.5""","6'10""",33,35.6,8.1-15.9,.510,1.4-3.3,.417,5.4-6.7,.809,6.2,2.0,0.4,0.8,1.4,2.3,23.0,33,36.0,8.2-16.1,.510,1.4-3.3,.417,5.5-6.7,.809,6.3,2.0,0.4,0.8,1.4,2.4,23.3,.602,.552,.205,.418,.359,31.1,0.42,1.40,25.5,.150,.034,.184,124.4,113.3,8.0,0.6,8.6
Izaiyah Nelson,South Florida,SR,PF/C,"6'9.5""",219lbs,,,22.72yrs,,,"Marietta, GA",Marietta HS,,,,"38.5""",11.22,2.9,3.2,"9'0""","7'2.5""",34,27.3,5.7-10.2,.561,0.2-1.4,.143,4.3-5.9,.725,9.6,1.2,1.4,1.6,1.4,3.1,15.9,34,36.0,7.5-13.4,.561,0.3-1.9,.143,5.6-7.8,.725,12.6,1.6,1.9,2.2,1.8,4.1,20.9,.612,.571,.142,.578,.317,23.7,0.37,0.89,28.9,.151,.099,.250,131.3,95.9,5.9,3.3,9.2
Dillon Mitchell,St. John's,SR,SF,"6'8""",202lbs,,,22.71yrs,,,"Spring Hill, FL",Montverde Academy,ESPN100 #4,,,"38.5""",10.94,2.89,3.19,"8'8.5""","6'10.5""",37,28.1,3.6-6.4,.559,0.0-0.4,.067,1.2-2.4,.494,7.0,3.0,0.7,1.3,1.0,1.8,8.3,37,36.0,4.6-8.2,.559,0.0-0.5,.067,1.5-3.0,.494,9.0,3.8,0.9,1.6,1.3,2.4,10.7,.555,.561,.064,.369,.289,14.5,1.30,3.00,18.7,.081,.092,.173,124.1,97.5,3.9,5.3,9.3
Otega Oweh,Kentucky,SR,SG,"6'5.5""",216lbs,,,23.00yrs,,,"Newark, NJ",Blair Academy,ESPN100 #77,,,"37.0""",11.2,2.86,3.17,"8'5""","6'8.25""",36,32.8,6.5-14.0,.465,1.3-3.8,.333,4.4-6.0,.731,4.8,2.7,0.3,1.8,2.1,2.7,18.6,36,36.0,7.1-15.4,.465,1.4-4.1,.333,4.8-6.6,.731,5.3,2.9,0.3,2.0,2.3,2.9,20.5,.554,.510,.268,.429,.346,28.4,0.57,1.30,20.4,.088,.058,.146,114.3,107.0,4.0,3.4,7.4
